,CANT,DESCR,SUBTOTAL_PARTIDA
222,10,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",3550.0
223,2,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",4436.54
224,1,"CAS INOX 1/2""X5"" 250W 240V EXT30CM",650.32
225,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
226,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
227,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
228,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
229,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
230,2,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",1196.0
231,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,890.0
232,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,606.9
233,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,738.5
234,5,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",1775.0
235,4,CART INOX 11.43mmØx450mm 300W 48V CABLE,2727.0
236,10,CARTUCHO Ø 8 MM X340 MM 500W 220 V,4070.0
237,8,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V,3904.0
238,7,CARTUCHO Ø8MM X 260MM 500W 220V,3801.0
239,8,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,4072.0
240,3,CARTUCHO Ø 10 MM X 460 MM 500W 220V,4095.0
241,4,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",4060.0
242,4,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",2249.28
243,1,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",1125.0
244,2,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,2970.0
245,30,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",44259.0
246,4,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",2500.8
247,2,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",1130.8
248,2,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",997.54
249,1,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",2508.7
250,2,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",2056.7
251,1,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.2
252,3,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",2397.3
253,1,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",1156.5
254,3,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",2976.75
255,3,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",1076.1
256,1,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",1498.16
257,1,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",1599.5
258,1,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",1455.25
259,1,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",1398.79
260,2,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,2944.0
261,3,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",1196.55
262,3,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",3689.64
